S&P 500,T-Bills (3 Month),10 Yr Bonds,Cash
0.05804,-0.00346,0.023563158,0.013442105
0.03661,-0.00655,0.01875,0.01719
0.05143,-0.0062,0.01724,0.019265
0.073175,-0.014275,0.01888,0.01794
0.10055,-0.0228,0.010445,0.024105
0.108275,-0.02864,0.00375,0.031765
0.08288,-0.028175,-0.006125,0.037275
0.111065,-0.02672,-0.00498,0.03727
0.10587,-0.02468,-0.006125,0.03614
0.093005,-0.024225,-0.007695,0.03483
0.10508,-0.02281,-0.012,0.0356
0.109205,-0.024265,-0.009385,0.03562
0.11483,-0.023475,-0.014875,0.03789
0.11998,-0.022395,-0.01923,0.038755
0.1432,-0.017105,-0.016485,0.03908
0.133545,-0.01241,-0.01036,0.03445
0.133125,-0.010415,-0.00512,0.0306
0.132595,-0.0082,-0.00487,0.02994
0.121315,-0.00629,-0.00364,0.029275
0.126065,0.0019,-0.00499,0.02911
0.13781,0.006295,0.001095,0.021775
0.139405,0.007535,0.00249,0.018875
0.1222,0.006125,0.002305,0.01974
0.10951,0.008745,-0.006415,0.023875
0.106475,0.011375,0.001475,0.023695
0.10526,0.01121,0.0076,0.02233
0.095645,0.009875,0.006565,0.02366
0.05177,0.00703,0.00256,0.02764
0.049775,0.00582,-0.004075,0.03418
0.056655,0.00605,-0.004785,0.037465
0.056735,0.005215,0.00306,0.0384
0.03497,0.004365,-0.00137,0.0403
0.0322,0.00212,-0.00397,0.04393
0.041245,0.000875,-0.00739,0.04971
0.022095,0.002385,-0.01935,0.05529
0.03509,0.004935,-0.02037,0.059415
0.03371,0.006515,-0.00856,0.060665
0.027115,0.00793,-0.008865,0.06174
0.03519,0.008705,-0.005525,0.06323
0.050285,0.01044,0.00562,0.06417
0.04087,0.010475,0.01735,0.06299
0.04376,0.011255,0.01509,0.063685
0.06338,0.01269,0.0176,0.063535
0.06001,0.012955,0.029115,0.06276
0.067885,0.01356,0.02388,0.06303
0.062695,0.013505,0.02652,0.062925
0.076795,0.014395,0.029945,0.06267
0.09316,0.017165,0.037845,0.05969
0.096005,0.019145,0.037235,0.054855
0.09633,0.019905,0.049005,0.052655
0.11818,0.02223,0.04279,0.051885
0.13248,0.02463,0.049375,0.049385
0.139035,0.02701,0.06042,0.04568
0.12449,0.028685,0.060665,0.040375
0.124145,0.02725,0.07397,0.03581
0.104265,0.023615,0.07628,0.032125
0.108325,0.02086,0.06854,0.0314
0.110895,0.01726,0.068085,0.030445
0.098365,0.01536,0.06398,0.0301
0.096135,0.01402,0.05316,0.02991
0.09615,0.01351,0.04141,0.03063
0.072045,0.013075,0.048855,0.030455
0.070525,0.01017,0.05703,0.02829
0.08141,0.008845,0.04406,0.027325
0.06781,0.00631,0.04743,0.02502
0.072535,0.005235,0.047985,0.02497
0.084115,0.004405,0.04545,0.02439
0.091105,0.003275,0.034645,0.023765
0.074525,0.0015,0.044815,0.02281
0.069905,-0.000175,0.03488,0.021905
0.06401,-0.0024,0.035115,0.02128
0.04785,-0.00394,0.031405,0.021485
0.05313,-0.005,0.02391,0.021635
0.067355,-0.00667,0.03283,0.02144
0.083965,-0.010845,0.031335,0.020425
0.08435,-0.01255,0.024005,0.02317
0.08234,-0.01129,0.00638,0.025205
0.089485,-0.0093,0.007375,0.02594
